time,price_eur_per_mwh
2025-01-01 00:00:00+01:00,13.62
2025-01-01 01:00:00+01:00,6.24
2025-01-01 02:00:00+01:00,4.16
2025-01-01 03:00:00+01:00,3.28
2025-01-01 04:00:00+01:00,0.68
2025-01-01 05:00:00+01:00,0.0
2025-01-01 06:00:00+01:00,0.76
2025-01-01 07:00:00+01:00,0.79
2025-01-01 08:00:00+01:00,1.89
2025-01-01 09:00:00+01:00,7.5
2025-01-01 10:00:00+01:00,27.32
2025-01-01 11:00:00+01:00,37.49
2025-01-01 12:00:00+01:00,60.1
2025-01-01 13:00:00+01:00,63.32
2025-01-01 14:00:00+01:00,47.0
2025-01-01 15:00:00+01:00,50.1
2025-01-01 16:00:00+01:00,27.64
2025-01-01 17:00:00+01:00,79.97
2025-01-01 18:00:00+01:00,95.0
2025-01-01 19:00:00+01:00,95.0
2025-01-01 20:00:00+01:00,81.49
2025-01-01 21:00:00+01:00,68.96
2025-01-01 22:00:00+01:00,46.37
2025-01-01 23:00:00+01:00,38.0
2025-01-02 00:00:00+01:00,101.94
2025-01-02 01:00:00+01:00,146.95
2025-01-02 02:00:00+01:00,148.44
2025-01-02 03:00:00+01:00,138.0
2025-01-02 04:00:00+01:00,100.1
2025-01-02 05:00:00+01:00,107.47
2025-01-02 06:00:00+01:00,154.68
2025-01-02 07:00:00+01:00,174.7
2025-01-02 08:00:00+01:00,175.07
2025-01-02 09:00:00+01:00,165.37
2025-01-02 10:00:00+01:00,136.0
2025-01-02 11:00:00+01:00,111.93
2025-01-02 12:00:00+01:00,101.52
2025-01-02 13:00:00+01:00,105.6
2025-01-02 14:00:00+01:00,118.95
2025-01-02 15:00:00+01:00,130.11
2025-01-02 16:00:00+01:00,138.81
2025-01-02 17:00:00+01:00,153.0
2025-01-02 18:00:00+01:00,152.99
2025-01-02 19:00:00+01:00,128.0
2025-01-02 20:00:00+01:00,129.17
2025-01-02 21:00:00+01:00,120.0
2025-01-02 22:00:00+01:00,119.9
2025-01-02 23:00:00+01:00,116.07
2025-01-03 00:00:00+01:00,114.32
2025-01-03 01:00:00+01:00,115.0
2025-01-03 02:00:00+01:00,103.0
2025-01-03 03:00:00+01:00,98.0
2025-01-03 04:00:00+01:00,78.15
2025-01-03 05:00:00+01:00,71.0
2025-01-03 06:00:00+01:00,68.96
2025-01-03 07:00:00+01:00,86.0
2025-01-03 08:00:00+01:00,112.64
2025-01-03 09:00:00+01:00,134.51
2025-01-03 10:00:00+01:00,100.0
2025-01-03 11:00:00+01:00,86.6
2025-01-03 12:00:00+01:00,83.8
2025-01-03 13:00:00+01:00,97.2
2025-01-03 14:00:00+01:00,117.05
2025-01-03 15:00:00+01:00,149.99
2025-01-03 16:00:00+01:00,125.8
2025-01-03 17:00:00+01:00,149.93
2025-01-03 18:00:00+01:00,133.2
2025-01-03 19:00:00+01:00,124.3
2025-01-03 20:00:00+01:00,125.0
2025-01-03 21:00:00+01:00,155.2
2025-01-03 22:00:00+01:00,133.2
2025-01-03 23:00:00+01:00,192.7
2025-01-04 00:00:00+01:00,136.4
2025-01-04 01:00:00+01:00,130.39
2025-01-04 02:00:00+01:00,106.7
2025-01-04 03:00:00+01:00,99.0
2025-01-04 04:00:00+01:00,96.09
2025-01-04 05:00:00+01:00,102.22
2025-01-04 06:00:00+01:00,110.7
2025-01-04 07:00:00+01:00,120.02
2025-01-04 08:00:00+01:00,128.39
2025-01-04 09:00:00+01:00,130.75
2025-01-04 10:00:00+01:00,130.34
2025-01-04 11:00:00+01:00,128.29
2025-01-04 12:00:00+01:00,130.03
2025-01-04 13:00:00+01:00,129.85
2025-01-04 14:00:00+01:00,136.4
2025-01-04 15:00:00+01:00,138.76
2025-01-04 16:00:00+01:00,141.2
2025-01-04 17:00:00+01:00,149.83
2025-01-04 18:00:00+01:00,144.17
2025-01-04 19:00:00+01:00,138.38
2025-01-04 20:00:00+01:00,129.73
2025-01-04 21:00:00+01:00,123.07
2025-01-04 22:00:00+01:00,118.54
2025-01-04 23:00:00+01:00,109.61
2025-01-05 00:00:00+01:00,111.61
2025-01-05 01:00:00+01:00,94.76
