# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 240         4.790       52.318      -3.30       Schiphol    
# FF        : Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur / Mean wind speed (in 0.1 m/s) during the 10-minute period preceding the time of observation
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,H,   FF,    Q
  240,20210101,    1,   20,    0
  240,20210101,    2,   20,    0
  240,20210101,    3,   20,    0
  240,20210101,    4,   30,    0
  240,20210101,    5,   20,    0
  240,20210101,    6,   30,    0
  240,20210101,    7,   20,    0
  240,20210101,    8,   10,    0
  240,20210101,    9,    0,    7
  240,20210101,   10,   30,   15
  240,20210101,   11,   20,   27
  240,20210101,   12,   40,   80
  240,20210101,   13,   30,   37
  240,20210101,   14,   30,   30
  240,20210101,   15,   10,   19
  240,20210101,   16,   10,    2
  240,20210101,   17,   20,    0
  240,20210101,   18,   20,    0
  240,20210101,   19,   30,    0
  240,20210101,   20,   20,    0
  240,20210101,   21,   10,    0
  240,20210101,   22,   30,    0
  240,20210101,   23,   40,    0
  240,20210101,   24,   30,    0
  240,20210102,    1,   30,    0
  240,20210102,    2,   20,    0
  240,20210102,    3,   20,    0
  240,20210102,    4,   10,    0
  240,20210102,    5,   10,    0
  240,20210102,    6,   10,    0
  240,20210102,    7,   20,    0
  240,20210102,    8,   20,    0
  240,20210102,    9,   10,   15
  240,20210102,   10,   10,   29
  240,20210102,   11,   20,   47
  240,20210102,   12,   30,   67
  240,20210102,   13,   20,   49
  240,20210102,   14,   20,   18
  240,20210102,   15,   10,   24
  240,20210102,   16,   20,    4
  240,20210102,   17,   20,    0
  240,20210102,   18,   20,    0
  240,20210102,   19,   20,    0
  240,20210102,   20,   10,    0
  240,20210102,   21,   20,    0
  240,20210102,   22,   20,    0
  240,20210102,   23,   30,    0
  240,20210102,   24,   30,    0
  240,20210103,    1,   20,    0
  240,20210103,    2,   30,    0
  240,20210103,    3,   30,    0
  240,20210103,    4,   30,    0
  240,20210103,    5,   30,    0
  240,20210103,    6,   30,    0
  240,20210103,    7,   30,    0
  240,20210103,    8,   40,    0
  240,20210103,    9,   40,    2
  240,20210103,   10,   40,    9
  240,20210103,   11,   50,   33
  240,20210103,   12,   60,   39
  240,20210103,   13,   40,   23
  240,20210103,   14,   60,   20
  240,20210103,   15,   60,   12
  240,20210103,   16,   70,    3
  240,20210103,   17,   60,    0
  240,20210103,   18,   60,    0
  240,20210103,   19,   60,    0
  240,20210103,   20,   70,    0
  240,20210103,   21,   60,    0
  240,20210103,   22,   60,    0
  240,20210103,   23,   70,    0
  240,20210103,   24,   70,    0
  240,20210104,    1,   70,    0
  240,20210104,    2,   70,    0
  240,20210104,    3,   80,    0
  240,20210104,    4,   70,    0
  240,20210104,    5,   80,    0
  240,20210104,    6,   90,    0
  240,20210104,    7,   70,    0
  240,20210104,    8,   80,    0
  240,20210104,    9,   80,    2
  240,20210104,   10,  100,    9
  240,20210104,   11,   90,   16
  240,20210104,   12,   90,   15
  240,20210104,   13,   70,   20
  240,20210104,   14,   80,   20
  240,20210104,   15,   80,    8
  240,20210104,   16,   70,    1
  240,20210104,   17,   70,    0
  240,20210104,   18,   90,    0
  240,20210104,   19,   60,    0
  240,20210104,   20,   70,    0
  240,20210104,   21,   70,    0
  240,20210104,   22,   70,    0
  240,20210104,   23,   70,    0
  240,20210104,   24,   60,    0
  240,20210105,    1,   70,    0
  240,20210105,    2,   60,    0
  240,20210105,    3,   70,    0
  240,20210105,    4,   60,    0
