# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# 356         5.146       51.859      0.70        Herwijnen   
# 377         5.763       51.198      30.00       Ell         
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# STN,YYYYMMDD,   HH,   FH
  330,20230101,    1,  130
  330,20230101,    2,  120
  330,20230101,    3,  130
  330,20230101,    4,  130
  330,20230101,    5,  110
  330,20230101,    6,  110
  330,20230101,    7,  100
  330,20230101,    8,  100
  330,20230101,    9,   90
  330,20230101,   10,   90
  330,20230101,   11,   90
  330,20230101,   12,   90
  330,20230101,   13,   80
  330,20230101,   14,   60
  330,20230101,   15,   60
  330,20230101,   16,   80
  330,20230101,   17,   70
  330,20230101,   18,   60
  330,20230101,   19,   80
  330,20230101,   20,   70
  330,20230101,   21,   60
  330,20230101,   22,   60
  330,20230101,   23,   60
  330,20230101,   24,   70
  330,20230102,    1,   70
  330,20230102,    2,   50
  330,20230102,    3,   60
  330,20230102,    4,   60
  330,20230102,    5,   60
  330,20230102,    6,   60
  330,20230102,    7,   50
  330,20230102,    8,   70
  330,20230102,    9,   70
  330,20230102,   10,   50
  330,20230102,   11,   60
  330,20230102,   12,   60
  330,20230102,   13,   70
  330,20230102,   14,   50
  330,20230102,   15,   50
  330,20230102,   16,   50
  330,20230102,   17,   50
  330,20230102,   18,   40
  330,20230102,   19,   40
  330,20230102,   20,   50
  330,20230102,   21,   60
  330,20230102,   22,   40
  330,20230102,   23,   40
  330,20230102,   24,   20
  330,20230103,    1,   30
  330,20230103,    2,   30
  330,20230103,    3,   30
  330,20230103,    4,   40
  330,20230103,    5,   60
  330,20230103,    6,   50
  330,20230103,    7,   50
  330,20230103,    8,   70
  330,20230103,    9,   70
  330,20230103,   10,   70
  330,20230103,   11,   90
  330,20230103,   12,   90
  330,20230103,   13,   90
  330,20230103,   14,   90
  330,20230103,   15,  100
  330,20230103,   16,  100
  330,20230103,   17,  110
  330,20230103,   18,  110
  330,20230103,   19,  120
  330,20230103,   20,  130
  330,20230103,   21,  130
  330,20230103,   22,  130
  330,20230103,   23,  130
  330,20230103,   24,  140
  330,20230104,    1,  140
  330,20230104,    2,  130
  330,20230104,    3,  130
  330,20230104,    4,  140
  330,20230104,    5,  130
  330,20230104,    6,  140
  330,20230104,    7,  130
  330,20230104,    8,  140
  330,20230104,    9,  140
  330,20230104,   10,  130
  330,20230104,   11,  130
  330,20230104,   12,  140
  330,20230104,   13,  140
  330,20230104,   14,  130
  330,20230104,   15,  130
  330,20230104,   16,  120
  330,20230104,   17,  120
  330,20230104,   18,  120
  330,20230104,   19,  110
  330,20230104,   20,  120
  330,20230104,   21,  130
  330,20230104,   22,  120
  330,20230104,   23,  110
  330,20230104,   24,  100
  330,20230105,    1,  100
  330,20230105,    2,  120
  330,20230105,    3,  110
  330,20230105,    4,  100
  330,20230105,    5,  100
  330,20230105,    6,  100
  330,20230105,    7,  100
  330,20230105,    8,   90
  330,20230105,    9,   80
  330,20230105,   10,   80
  330,20230105,   11,   70
  330,20230105,   12,   70
  330,20230105,   13,   50
  330,20230105,   14,   70
  330,20230105,   15,   40
  330,20230105,   16,   70
  330,20230105,   17,   60
  330,20230105,   18,   80
  330,20230105,   19,   80
  330,20230105,   20,  100
  330,20230105,   21,   90
  330,20230105,   22,   90
  330,20230105,   23,   90
  330,20230105,   24,   90
  330,20230106,    1,   90
  330,20230106,    2,   90
  330,20230106,    3,  100
  330,20230106,    4,  100
  330,20230106,    5,  120
  330,20230106,    6,  120
  330,20230106,    7,  110
  330,20230106,    8,   70
  330,20230106,    9,   60
  330,20230106,   10,   60
  330,20230106,   11,   70
  330,20230106,   12,   70
  330,20230106,   13,   80
  330,20230106,   14,   70
  330,20230106,   15,   80
  330,20230106,   16,   50
  330,20230106,   17,   50
  330,20230106,   18,   50
  330,20230106,   19,   50
  330,20230106,   20,   80
  330,20230106,   21,   80
  330,20230106,   22,   90
  330,20230106,   23,   90
  330,20230106,   24,   80
  330,20230107,    1,   90
  330,20230107,    2,   90
  330,20230107,    3,   90
  330,20230107,    4,   90
  330,20230107,    5,  100
  330,20230107,    6,  100
  330,20230107,    7,  100
  330,20230107,    8,  100
  330,20230107,    9,  110
  330,20230107,   10,  110
  330,20230107,   11,  120
  330,20230107,   12,  130
  330,20230107,   13,  130
  330,20230107,   14,  120
  330,20230107,   15,  120
  330,20230107,   16,  110
  330,20230107,   17,  120
  330,20230107,   18,  120
  330,20230107,   19,  120
  330,20230107,   20,  120
  330,20230107,   21,  130
  330,20230107,   22,  130
  330,20230107,   23,  110
  330,20230107,   24,   90
  330,20230108,    1,   60
  330,20230108,    2,   70
  330,20230108,    3,   70
  330,20230108,    4,   80
  330,20230108,    5,   80
  330,20230108,    6,   80
  330,20230108,    7,   90
  330,20230108,    8,   90
  330,20230108,    9,   90
  330,20230108,   10,  100
  330,20230108,   11,  100
  330,20230108,   12,  100
  330,20230108,   13,  100
  330,20230108,   14,   90
  330,20230108,   15,  100
  330,20230108,   16,  100
  330,20230108,   17,   90
  330,20230108,   18,  100
  330,20230108,   19,  100
