t_h,wind_e_prod_normalized,solar_e_prod_normalized,ambientTemperature_degC,Day-ahead Price [EUR/MWh],house_e_demand_other,house_h_demand_hot_water,building_e_demand_other,building_h_demand,industry_steel_e_demand,industry_steel_h_demand,industry_other_e_demand,industry_other_h_demand,logistics_fleet_e_hgv
0,0.813403792,0.000318938,1.7667,11.95,0.000151584,0.00E+00,8.05638E-05,8.89E-05,1.14E-04,1.14E-04,1.20E-04,1.20E-04,0.00024297
1,0.845328282,0.000325448,1.7333,11.94,0.000122541,0.00E+00,8.46942E-05,7.91E-05,1.14E-04,1.14E-04,1.20E-04,1.20E-04,0.00023019
2,0.959966247,0.000325448,1.6250,11.94,9.37388E-05,0.00E+00,8.50952E-05,8.48E-05,1.14E-04,1.14E-04,1.15E-04,1.15E-04,0.00023444
3,1,0.000325448,1.5250,11.93,7.05044E-05,0.00E+00,8.55765E-05,7.53E-05,1.14E-04,1.14E-04,1.11E-04,1.11E-04,0.00024647
4,1,0.000273375,1.3500,11.93,6.28931E-05,0.00E+00,8.68998E-05,8.08E-05,1.14E-04,1.14E-04,1.09E-04,1.09E-04,0.00024666
5,1,0.000221302,1.1667,11.92,6.081E-05,1.59E-04,8.76216E-05,1.01E-04,1.14E-04,1.14E-04,1.08E-04,1.08E-04,0.00022238
6,1,0.000221302,0.9500,11.92,6.6178E-05,3.06E-04,8.81429E-05,1.08E-04,1.14E-04,1.14E-04,1.07E-04,1.07E-04,0.00016366
7,1,0.000227813,0.6667,11.92,7.25073E-05,3.37E-04,8.97069E-05,5.23E-05,1.14E-04,1.14E-04,9.41E-05,9.41E-05,6.80E-05
8,1,0.008921314,0.6333,11.91,8.94524E-05,1.96E-04,8.87846E-05,5.92E-05,1.14E-04,1.14E-04,9.40E-05,9.40E-05,5.11E-05
9,0.875801665,0.034562695,0.5500,7.18,0.000104675,1.06E-04,8.64186E-05,1.08E-04,1.14E-04,1.14E-04,9.62E-05,9.62E-05,5.21E-05
10,0.980281821,0.064346822,0.5750,7.18,0.000134679,1.07E-04,8.89049E-05,1.83E-04,1.14E-04,1.14E-04,1.00E-04,1.00E-04,5.15E-05
11,1,0.093368148,0.4667,7.18,0.000156472,1.08E-04,9.00678E-05,1.88E-04,1.14E-04,1.14E-04,1.05E-04,1.05E-04,4.37E-05
12,1,0.103474278,0.4667,7.18,0.000157754,1.09E-04,8.88247E-05,2.01E-04,1.14E-04,1.14E-04,1.07E-04,1.07E-04,3.59E-05
13,1,0.092475264,0.4333,11.89,0.000159556,1.10E-04,8.87044E-05,1.98E-04,1.14E-04,1.14E-04,1.08E-04,1.08E-04,4.70E-05
14,1,0.057826458,0.4083,11.91,0.00015543,1.10E-04,8.82632E-05,1.96E-04,1.14E-04,1.14E-04,1.08E-04,1.08E-04,6.39E-05
15,1,0.02867568,0.4000,11.91,0.000153147,1.10E-04,8.7381E-05,1.85E-04,1.14E-04,1.14E-04,1.07E-04,1.07E-04,7.46E-05
16,1,0.020099786,0.5750,11.91,0.00016184,1.10E-04,8.96267E-05,1.73E-04,1.14E-04,1.14E-04,1.07E-04,1.07E-04,5.88E-05
17,1,0.009548699,0.7333,11.91,0.000214197,1.09E-04,9.38373E-05,1.63E-04,1.14E-04,1.14E-04,1.07E-04,1.07E-04,5.44E-05
18,1,0.002629631,0.8667,11.91,0.000224372,1.37E-04,9.38373E-05,1.58E-04,1.14E-04,1.14E-04,1.09E-04,1.09E-04,6.18E-05
19,1,0.000904752,0.9250,11.9,0.000220206,1.77E-04,9.33561E-05,1.44E-04,1.14E-04,1.14E-04,1.07E-04,1.07E-04,6.18E-05
20,1,0.000650897,1.0000,7.18,0.000217202,1.49E-04,9.35967E-05,1.40E-04,1.14E-04,1.14E-04,1.06E-04,1.06E-04,6.09E-05
21,1,0.000488179,1.1333,2.31,0.000184113,1.05E-04,9.28749E-05,1.45E-04,1.14E-04,1.14E-04,1.06E-04,1.06E-04,8.52E-05
22,1,0.000481668,1.2500,2.31,0.000165084,1.04E-04,9.05891E-05,1.42E-04,1.14E-04,1.14E-04,1.02E-04,1.02E-04,0.00011807
23,1,0.0003645,1.4667,2.31,0.000136041,0.00E+00,9.14714E-05,1.08E-04,1.14E-04,1.14E-04,9.85E-05,9.85E-05,0.00016407
24,1,0.000312427,1.6750,1.73,9.2537E-05,0.00E+00,9.38373E-05,1.28E-04,1.14E-04,1.14E-04,9.49E-05,9.49E-05,0.00024297
25,1,0.000318938,2.1167,1.73,7.01038E-05,0.00E+00,9.46795E-05,1.15E-04,1.14E-04,1.14E-04,9.61E-05,9.61E-05,0.00023019
26,1,0.000312427,2.3500,1.73,6.05296E-05,0.00E+00,9.42785E-05,1.12E-04,1.14E-04,1.14E-04,9.62E-05,9.62E-05,0.00023444
27,1,0.000312427,2.1167,1.73,5.77255E-05,0.00E+00,9.40379E-05,1.16E-04,1.14E-04,1.14E-04,9.56E-05,9.56E-05,0.00024647
28,1,0.000305928,1.8917,1.73,5.84065E-05,0.00E+00,9.32358E-05,1.28E-04,1.14E-04,1.14E-04,9.53E-05,9.53E-05,0.00024666
29,1,0.000305928,1.3833,1.73,6.2132E-05,1.59E-04,9.43587E-05,1.48E-04,1.14E-04,1.14E-04,9.40E-05,9.40E-05,0.00022238
30,1,0.000305928,1.4667,1.73,7.79153E-05,3.06E-04,0.000105066,1.97E-04,1.14E-04,1.14E-04,9.31E-05,9.31E-05,0.00016366
31,1,0.000772532,1.8583,2.29,0.000104835,3.37E-04,0.000143884,2.68E-04,1.14E-04,1.14E-04,9.94E-05,9.94E-05,6.80E-05
32,0.920786178,0.017551752,1.6333,2.32,0.000133237,1.96E-04,0.000195254,2.45E-04,1.14E-04,1.14E-04,1.09E-04,1.09E-04,5.11E-05
33,0.745201462,0.053598467,3.1583,2.32,0.000152346,1.06E-04,0.000207004,2.41E-04,1.14E-04,1.14E-04,1.22E-04,1.22E-04,5.21E-05
34,0.613150138,0.099135595,4.2417,2.32,0.000152946,1.07E-04,0.000211495,2.59E-04,1.14E-04,1.14E-04,1.27E-04,1.27E-04,5.15E-05
35,0.555105616,0.125392634,4.9250,2.32,0.000153948,1.08E-04,0.000213901,2.60E-04,1.14E-04,1.14E-04,1.30E-04,1.30E-04,4.37E-05
36,0.523181112,0.126420352,5.2417,2.32,0.000158675,1.09E-04,0.000200708,2.62E-04,1.14E-04,1.14E-04,1.33E-04,1.33E-04,3.59E-05
37,0.356303082,0.100713687,4.9333,11.91,0.000153667,1.10E-04,0.00020179,2.57E-04,1.14E-04,1.14E-04,1.31E-04,1.31E-04,4.70E-05
38,0.174913909,0.063094297,4.1667,11.91,0.000153267,1.10E-04,0.000198382,2.46E-04,1.14E-04,1.14E-04,1.31E-04,1.31E-04,6.39E-05
39,0.224251758,0.02771377,3.4333,11.93,0.000151344,1.10E-04,0.000184426,2.29E-04,1.14E-04,1.14E-04,1.27E-04,1.27E-04,7.46E-05
40,0.166207222,0.017847677,3.0000,29,0.000177343,1.10E-04,0.000164255,2.04E-04,1.14E-04,1.14E-04,1.27E-04,1.27E-04,5.88E-05
41,0.099456013,0.00833803,3.0083,67.62917933,0.000226335,1.09E-04,0.000137267,1.89E-04,1.14E-04,1.14E-04,1.25E-04,1.25E-04,5.44E-05
42,0.129929396,0.002134953,2.5750,67.62917933,0.000237351,1.38E-04,0.000119222,1.76E-04,1.14E-04,1.14E-04,1.28E-04,1.28E-04,6.18E-05
43,0.142989405,0.001047951,2.0833,67.62917933,0.000234547,1.77E-04,0.000113607,1.64E-04,1.14E-04,1.14E-04,1.26E-04,1.26E-04,6.18E-05
44,0.156049428,0.000807117,1.9833,64.29341667,0.000219164,1.49E-04,0.000108474,1.76E-04,1.14E-04,1.14E-04,1.32E-04,1.32E-04,6.09E-05
45,0.060275944,0.000559772,1.8250,64.29341667,0.000191644,1.05E-04,0.000100695,1.79E-04,1.14E-04,1.14E-04,1.29E-04,1.29E-04,8.52E-05
46,0.038509248,0.000403552,1.7167,64.29341667,0.000175139,1.04E-04,9.12709E-05,1.80E-04,1.14E-04,1.14E-04,1.27E-04,1.27E-04,0.00011807
47,0.08639599,0.000403552,1.6917,53.87277338,0.00014165,0.00E+00,8.64186E-05,1.55E-04,1.14E-04,1.14E-04,1.27E-04,1.27E-04,0.00016407
48,0.084944883,0.000403552,1.7083,14.52,9.89064E-05,0.00E+00,8.12856E-05,1.41E-04,1.14E-04,1.14E-04,1.25E-04,1.25E-04,0.00024297
49,0.07188486,0.000403552,2.0917,14.51,7.30281E-05,0.00E+00,8.10851E-05,1.26E-04,1.14E-04,1.14E-04,1.22E-04,1.22E-04,0.00023019
50,0.095102663,0.000403552,2.6000,14.51,6.36142E-05,0.00E+00,7.94008E-05,1.22E-04,1.14E-04,1.14E-04,1.20E-04,1.20E-04,0.00023444
51,0.008035866,0.000403552,2.9250,14.51,6.04094E-05,0.00E+00,8.00826E-05,1.27E-04,1.14E-04,1.14E-04,1.17E-04,1.17E-04,0.00024647
52,0,0.000390543,2.9417,14.49,5.91275E-05,0.00E+00,8.2649E-05,1.39E-04,1.14E-04,1.14E-04,1.16E-04,1.16E-04,0.00024666
53,0,0.000390543,3.2083,14.49,6.05296E-05,1.59E-04,8.43333E-05,1.58E-04,1.14E-04,1.14E-04,1.15E-04,1.15E-04,0.00022238
54,0,0.000390543,3.3417,14.49,6.71394E-05,3.07E-04,8.58572E-05,2.11E-04,1.14E-04,1.14E-04,1.19E-04,1.19E-04,0.00016366
55,0,0.001427943,3.2500,14.52,8.5807E-05,3.38E-04,9.28348E-05,2.81E-04,1.14E-04,1.14E-04,1.26E-04,1.26E-04,6.80E-05
56,0,0.022591446,3.6833,53.87277338,0.000120018,1.97E-04,0.000103061,2.56E-04,1.14E-04,1.14E-04,1.27E-04,1.27E-04,5.11E-05
57,0.010938095,0.062044137,4.3500,27.3165259,0.00014894,1.06E-04,0.000111602,2.50E-04,1.14E-04,1.14E-04,1.28E-04,1.28E-04,5.21E-05
58,0,0.109856517,4.7167,29,0.000167248,1.07E-04,0.000118259,2.68E-04,1.14E-04,1.14E-04,1.32E-04,1.32E-04,5.15E-05
59,0,0.140411584,4.9833,53.87277338,0.000167768,1.08E-04,0.000118901,2.70E-04,1.14E-04,1.14E-04,1.32E-04,1.32E-04,4.37E-05
60,0,0.134294309,5.3000,53.87277338,0.000165445,1.09E-04,0.000115813,2.72E-04,1.14E-04,1.14E-04,1.29E-04,1.29E-04,3.59E-05
61,0,0.100870607,5.3917,64.29341667,0.000165365,1.10E-04,0.000113487,2.66E-04,1.14E-04,1.14E-04,1.28E-04,1.28E-04,4.70E-05
62,0,0.06712293,5.4167,67.08,0.000160958,1.10E-04,0.000111642,2.55E-04,1.14E-04,1.14E-04,1.29E-04,1.29E-04,6.39E-05
63,0,0.031852002,5.4917,67.08,0.000160878,1.11E-04,0.000109637,2.38E-04,1.14E-04,1.14E-04,1.30E-04,1.30E-04,7.46E-05
64,0.07188486,0.019858952,5.5667,67.21,0.000177943,1.10E-04,0.000109517,2.13E-04,1.14E-04,1.14E-04,1.32E-04,1.32E-04,5.88E-05
65,0.01819366,0.009607283,5.7583,79.29,0.000222049,1.10E-04,0.000104464,1.99E-04,1.14E-04,1.14E-04,1.38E-04,1.38E-04,5.44E-05
66,0,0.002616621,5.9833,79.3,0.000230061,1.38E-04,9.74465E-05,1.88E-04,1.14E-04,1.14E-04,1.36E-04,1.36E-04,6.18E-05
67,0.022546996,0.000787585,6.1167,67.08,0.000232144,1.77E-04,9.50003E-05,1.75E-04,1.14E-04,1.14E-04,1.36E-04,1.36E-04,6.18E-05
68,0.025449225,0.000592313,6.2250,64.29341667,0.000215679,1.49E-04,9.32759E-05,1.87E-04,1.14E-04,1.14E-04,1.34E-04,1.34E-04,6.09E-05
69,0.013840324,0.00049084,6.3750,53.87277338,0.000194047,1.06E-04,8.99074E-05,1.91E-04,1.14E-04,1.14E-04,1.32E-04,1.32E-04,8.52E-05
70,0,0.000442616,6.4833,53.87277338,0.000173857,1.04E-04,8.67795E-05,1.95E-04,1.14E-04,1.14E-04,1.33E-04,1.33E-04,0.00011807
71,0,0.000442616,6.5333,53.87277338,0.000142851,0.00E+00,8.56166E-05,1.70E-04,1.14E-04,1.14E-04,1.25E-04,1.25E-04,0.00016407
72,0,0.000436106,6.6000,34.06,0.000103233,0.00E+00,8.18871E-05,1.23E-04,1.14E-04,1.14E-04,1.26E-04,1.26E-04,0.00024297
73,0,0.000442616,6.5500,34.06,7.6313E-05,0.00E+00,8.26891E-05,1.11E-04,1.14E-04,1.14E-04,1.23E-04,1.23E-04,0.00023019
74,0,0.000442616,6.4917,34.06,6.31335E-05,0.00E+00,8.02029E-05,1.08E-04,1.14E-04,1.14E-04,1.20E-04,1.20E-04,0.00023444
75,0.039960356,0.000442616,6.1667,34.06,5.91275E-05,0.00E+00,8.0644E-05,1.12E-04,1.14E-04,1.14E-04,1.19E-04,1.19E-04,0.00024647
76,0.150244984,0.000442616,6.1083,27.3165259,5.83263E-05,0.00E+00,8.13658E-05,1.25E-04,1.14E-04,1.14E-04,1.17E-04,1.17E-04,0.00024666
77,0.391129801,0.000436106,5.7083,7.617993944,5.88071E-05,1.60E-04,8.16064E-05,1.44E-04,1.14E-04,1.14E-04,1.18E-04,1.18E-04,0.00022238
78,0.365009755,0.000442616,5.6500,14.77,6.24124E-05,3.07E-04,8.17668E-05,1.93E-04,1.14E-04,1.14E-04,1.17E-04,1.17E-04,0.00016366
79,0.386776451,0.000839266,5.4167,34.06,7.55118E-05,3.38E-04,8.32506E-05,2.64E-04,1.14E-04,1.14E-04,1.27E-04,1.27E-04,6.80E-05
80,0.382423115,0.008677391,5.2750,34.06,0.000103433,1.97E-04,8.34511E-05,2.41E-04,1.14E-04,1.14E-04,1.31E-04,1.31E-04,5.11E-05
81,0.360656419,0.019928419,5.1667,34.06,0.000132636,1.06E-04,8.29699E-05,2.38E-04,1.14E-04,1.14E-04,1.34E-04,1.34E-04,5.21E-05
82,0.560910059,0.032760069,5.7583,34.06,0.000154549,1.08E-04,8.43734E-05,2.55E-04,1.14E-04,1.14E-04,1.33E-04,1.33E-04,5.15E-05
83,0.604443465,0.043504325,6.0750,34.06,0.000169972,1.09E-04,8.63384E-05,2.57E-04,1.14E-04,1.14E-04,1.35E-04,1.35E-04,4.37E-05
84,0.632014619,0.044763823,5.4333,27.3165259,0.000171173,1.10E-04,8.8544E-05,2.58E-04,1.14E-04,1.14E-04,1.35E-04,1.35E-04,3.59E-05
85,0.691510262,0.03914207,5.5500,34.06,0.00016877,1.10E-04,8.90653E-05,2.53E-04,1.14E-04,1.14E-04,1.34E-04,1.34E-04,4.70E-05
86,0.546398929,0.032861875,5.3500,34.06,0.000163442,1.11E-04,8.87445E-05,2.43E-04,1.14E-04,1.14E-04,1.34E-04,1.34E-04,6.39E-05
