validfrom_utc,co2_factor_kg_per_kwh
2022-12-31 23:00:00+00:00,0.13793
2022-12-31 23:15:00+00:00,0.14221
2022-12-31 23:30:00+00:00,0.143716
2022-12-31 23:45:00+00:00,0.144679
2023-01-01 00:00:00+00:00,0.140364
2023-01-01 00:15:00+00:00,0.140339
2023-01-01 00:30:00+00:00,0.140421
2023-01-01 00:45:00+00:00,0.140203
2023-01-01 01:00:00+00:00,0.140316
2023-01-01 01:15:00+00:00,0.140118
2023-01-01 01:30:00+00:00,0.140028
2023-01-01 01:45:00+00:00,0.139733
2023-01-01 02:00:00+00:00,0.140485
2023-01-01 02:15:00+00:00,0.141134
2023-01-01 02:30:00+00:00,0.141875
2023-01-01 02:45:00+00:00,0.140045
2023-01-01 03:00:00+00:00,0.139721
2023-01-01 03:15:00+00:00,0.139435
2023-01-01 03:30:00+00:00,0.139356
2023-01-01 03:45:00+00:00,0.139012
2023-01-01 04:00:00+00:00,0.140615
2023-01-01 04:15:00+00:00,0.141096
2023-01-01 04:30:00+00:00,0.140153
2023-01-01 04:45:00+00:00,0.139623
2023-01-01 05:00:00+00:00,0.14059
2023-01-01 05:15:00+00:00,0.141198
2023-01-01 05:30:00+00:00,0.141106
2023-01-01 05:45:00+00:00,0.139971
2023-01-01 06:00:00+00:00,0.139353
2023-01-01 06:15:00+00:00,0.140058
2023-01-01 06:30:00+00:00,0.139755
2023-01-01 06:45:00+00:00,0.140643
2023-01-01 07:00:00+00:00,0.139515
2023-01-01 07:15:00+00:00,0.140709
2023-01-01 07:30:00+00:00,0.142475
2023-01-01 07:45:00+00:00,0.143049
2023-01-01 08:00:00+00:00,0.144139
2023-01-01 08:15:00+00:00,0.143769
2023-01-01 08:30:00+00:00,0.14282
2023-01-01 08:45:00+00:00,0.141658
2023-01-01 09:00:00+00:00,0.142371
2023-01-01 09:15:00+00:00,0.139199
2023-01-01 09:30:00+00:00,0.135532
2023-01-01 09:45:00+00:00,0.132721
2023-01-01 10:00:00+00:00,0.127661
2023-01-01 10:15:00+00:00,0.125057
2023-01-01 10:30:00+00:00,0.121331
2023-01-01 10:45:00+00:00,0.118009
2023-01-01 11:00:00+00:00,0.116008
2023-01-01 11:15:00+00:00,0.11556
2023-01-01 11:30:00+00:00,0.115871
2023-01-01 11:45:00+00:00,0.116948
2023-01-01 12:00:00+00:00,0.117455
2023-01-01 12:15:00+00:00,0.119603
2023-01-01 12:30:00+00:00,0.121545
2023-01-01 12:45:00+00:00,0.121805
2023-01-01 13:00:00+00:00,0.125104
2023-01-01 13:15:00+00:00,0.129584
2023-01-01 13:30:00+00:00,0.135734
2023-01-01 13:45:00+00:00,0.139868
2023-01-01 14:00:00+00:00,0.148504
2023-01-01 14:15:00+00:00,0.154835
2023-01-01 14:30:00+00:00,0.163874
2023-01-01 14:45:00+00:00,0.170971
2023-01-01 15:00:00+00:00,0.182828
2023-01-01 15:15:00+00:00,0.190751
2023-01-01 15:30:00+00:00,0.200678
2023-01-01 15:45:00+00:00,0.212697
2023-01-01 16:00:00+00:00,0.227702
