,p_mp
2025-01-01 00:00:00+00:00,0.0
2025-01-01 00:15:00+00:00,0.0
2025-01-01 00:30:00+00:00,0.0
2025-01-01 00:45:00+00:00,0.0
2025-01-01 01:00:00+00:00,0.0
2025-01-01 01:15:00+00:00,0.0
2025-01-01 01:30:00+00:00,0.0
2025-01-01 01:45:00+00:00,0.0
2025-01-01 02:00:00+00:00,0.0
2025-01-01 02:15:00+00:00,0.0
2025-01-01 02:30:00+00:00,0.0
2025-01-01 02:45:00+00:00,0.0
2025-01-01 03:00:00+00:00,0.0
2025-01-01 03:15:00+00:00,0.0
2025-01-01 03:30:00+00:00,0.0
2025-01-01 03:45:00+00:00,0.0
2025-01-01 04:00:00+00:00,0.0
2025-01-01 04:15:00+00:00,0.0
2025-01-01 04:30:00+00:00,0.0
2025-01-01 04:45:00+00:00,0.0
2025-01-01 05:00:00+00:00,0.0
2025-01-01 05:15:00+00:00,0.0
2025-01-01 05:30:00+00:00,0.0
2025-01-01 05:45:00+00:00,0.0
2025-01-01 06:00:00+00:00,0.0
2025-01-01 06:15:00+00:00,0.0
2025-01-01 06:30:00+00:00,0.0
2025-01-01 06:45:00+00:00,0.0
2025-01-01 07:00:00+00:00,0.0
2025-01-01 07:15:00+00:00,0.0
2025-01-01 07:30:00+00:00,0.0
2025-01-01 07:45:00+00:00,0.0
2025-01-01 08:00:00+00:00,0.0
2025-01-01 08:15:00+00:00,5.6575633365661675e-05
2025-01-01 08:30:00+00:00,0.002820760951250459
2025-01-01 08:45:00+00:00,0.005364684333408284
2025-01-01 09:00:00+00:00,0.007350052866665997
2025-01-01 09:15:00+00:00,0.006299949643492602
2025-01-01 09:30:00+00:00,0.0057989607094657515
2025-01-01 09:45:00+00:00,0.008443304134740539
2025-01-01 10:00:00+00:00,0.012353018169349366
2025-01-01 10:15:00+00:00,0.01300664149481353
2025-01-01 10:30:00+00:00,0.012560176214451286
2025-01-01 10:45:00+00:00,0.014811615525389534
2025-01-01 11:00:00+00:00,0.016618778562012677
2025-01-01 11:15:00+00:00,0.012655407918726602
2025-01-01 11:30:00+00:00,0.015491951574273964
2025-01-01 11:45:00+00:00,0.014449747287847566
2025-01-01 12:00:00+00:00,0.01800323363884521
2025-01-01 12:15:00+00:00,0.0192557222522932
2025-01-01 12:30:00+00:00,0.01936506328626055
2025-01-01 12:45:00+00:00,0.01399035747557652
2025-01-01 13:00:00+00:00,0.01167646679873524
2025-01-01 13:15:00+00:00,0.008987196927921137
2025-01-01 13:30:00+00:00,0.005247794182403073
2025-01-01 13:45:00+00:00,0.00250778471788427
2025-01-01 14:00:00+00:00,0.0031046964307050754
2025-01-01 14:15:00+00:00,0.0016867615950330696
2025-01-01 14:30:00+00:00,0.002943985901667115
2025-01-01 14:45:00+00:00,0.00016042985913516285
2025-01-01 15:00:00+00:00,0.0
2025-01-01 15:15:00+00:00,0.0
2025-01-01 15:30:00+00:00,0.0
2025-01-01 15:45:00+00:00,0.0
2025-01-01 16:00:00+00:00,0.0
2025-01-01 16:15:00+00:00,0.0
2025-01-01 16:30:00+00:00,0.0
2025-01-01 16:45:00+00:00,0.0
2025-01-01 17:00:00+00:00,0.0
2025-01-01 17:15:00+00:00,0.0
2025-01-01 17:30:00+00:00,0.0
2025-01-01 17:45:00+00:00,0.0
2025-01-01 18:00:00+00:00,0.0
2025-01-01 18:15:00+00:00,0.0
