valid_time,u100,v100,t2m,sp,latitude,longitude
2022-12-31 00:00:00,6.8336945,8.309204,286.80664,99880.77,51.25,6.0
2022-12-31 01:00:00,7.3207397,8.769577,286.8425,99881.29,51.25,6.0
2022-12-31 02:00:00,7.4066925,8.519821,286.95532,99894.06,51.25,6.0
2022-12-31 03:00:00,9.04245,8.826569,287.09784,99889.25,51.25,6.0
2022-12-31 04:00:00,10.394333,9.85054,287.51807,99897.43,51.25,6.0
2022-12-31 05:00:00,11.460312,11.426407,288.16315,99924.72,51.25,6.0
2022-12-31 06:00:00,11.72728,11.908157,288.50146,99965.69,51.25,6.0
2022-12-31 07:00:00,11.325272,11.783264,288.81592,100057.914,51.25,6.0
2022-12-31 08:00:00,10.745224,11.305038,288.95538,100108.875,51.25,6.0
2022-12-31 09:00:00,11.241043,11.190918,289.1186,100186.25,51.25,6.0
2022-12-31 10:00:00,10.234741,10.320526,289.20062,100263.16,51.25,6.0
2022-12-31 11:00:00,10.242111,10.852051,289.58673,100282.95,51.25,6.0
2022-12-31 12:00:00,10.822662,10.682449,289.75464,100261.39,51.25,6.0
2022-12-31 13:00:00,10.25856,10.2478485,289.95233,100259.44,51.25,6.0
2022-12-31 14:00:00,9.282379,10.528961,289.65692,100267.62,51.25,6.0
2022-12-31 15:00:00,8.6901245,10.311737,289.4062,100303.555,51.25,6.0
2022-12-31 16:00:00,8.225159,10.486679,289.2256,100307.97,51.25,6.0
2022-12-31 17:00:00,7.952484,10.644669,288.86682,100293.875,51.25,6.0
2022-12-31 18:00:00,8.230499,10.766357,288.66882,100296.95,51.25,6.0
2022-12-31 19:00:00,8.177963,11.514999,288.65747,100312.42,51.25,6.0
2022-12-31 20:00:00,9.077194,11.914597,288.685,100330.91,51.25,6.0
2022-12-31 21:00:00,10.274246,11.899445,288.6957,100354.65,51.25,6.0
2022-12-31 22:00:00,10.762772,11.20517,288.78284,100408.5,51.25,6.0
2022-12-31 23:00:00,11.051773,10.737976,288.813,100452.34,51.25,6.0
2023-01-01 00:00:00,10.955353,10.202057,288.68002,100490.13,51.25,6.0
2023-01-01 01:00:00,9.793671,10.161819,288.55603,100478.22,51.25,6.0
2023-01-01 02:00:00,9.332962,10.677216,288.4054,100536.91,51.25,6.0
2023-01-01 03:00:00,9.816635,10.244049,288.38678,100571.8,51.25,6.0
2023-01-01 04:00:00,9.643555,9.423553,288.1051,100582.36,51.25,6.0
2023-01-01 05:00:00,8.641266,8.914978,287.8587,100657.05,51.25,6.0
2023-01-01 06:00:00,8.325882,8.507996,287.3718,100734.47,51.25,6.0
2023-01-01 07:00:00,7.988785,8.601822,287.0194,100833.76,51.25,6.0
