valid_time,u100,v100,t2m,sp,latitude,longitude
2022-12-31 00:00:00,10.320999,7.642212,284.9004,100168.77,52.0,4.25
2022-12-31 01:00:00,8.88324,7.385788,284.45578,100196.29,52.0,4.25
2022-12-31 02:00:00,7.693802,8.018845,284.05493,100207.06,52.0,4.25
2022-12-31 03:00:00,7.516083,7.9291077,283.83807,100215.25,52.0,4.25
2022-12-31 04:00:00,6.710739,7.4677277,284.00635,100181.43,52.0,4.25
2022-12-31 05:00:00,5.85289,8.486954,284.4854,100160.72,52.0,4.25
2022-12-31 06:00:00,8.201889,10.015579,285.2964,100134.69,52.0,4.25
2022-12-31 07:00:00,11.919022,12.1026,285.9995,100155.914,52.0,4.25
2022-12-31 08:00:00,13.410263,12.7357025,286.53156,100203.875,52.0,4.25
2022-12-31 09:00:00,13.417801,12.10498,286.57367,100310.25,52.0,4.25
2022-12-31 10:00:00,13.845093,11.043182,286.8061,100379.16,52.0,4.25
2022-12-31 11:00:00,12.4579315,10.867676,286.88947,100414.95,52.0,4.25
2022-12-31 12:00:00,12.398834,11.447098,286.75073,100408.39,52.0,4.25
2022-12-31 13:00:00,11.638443,11.702927,286.591,100382.44,52.0,4.25
2022-12-31 14:00:00,11.629059,12.4010315,286.78192,100401.62,52.0,4.25
2022-12-31 15:00:00,10.999695,12.643768,287.11517,100408.555,52.0,4.25
2022-12-31 16:00:00,9.05426,13.5794525,287.12012,100379.97,52.0,4.25
2022-12-31 17:00:00,9.2864685,13.7140045,287.28284,100392.875,52.0,4.25
2022-12-31 18:00:00,8.822296,14.005615,287.5282,100356.95,52.0,4.25
2022-12-31 19:00:00,8.351791,14.38707,287.4973,100364.42,52.0,4.25
2022-12-31 20:00:00,9.730515,14.781784,287.6186,100380.91,52.0,4.25
2022-12-31 21:00:00,12.627762,14.842804,287.6508,100407.65,52.0,4.25
2022-12-31 22:00:00,12.625076,15.154388,287.46448,100479.5,52.0,4.25
2022-12-31 23:00:00,13.17482,13.751648,287.14307,100534.34,52.0,4.25
2023-01-01 00:00:00,12.802032,12.967682,286.8558,100603.13,52.0,4.25
2023-01-01 01:00:00,11.978241,12.441116,286.77087,100570.22,52.0,4.25
2023-01-01 02:00:00,12.834915,12.325653,286.35657,100640.91,52.0,4.25
2023-01-01 03:00:00,14.655502,11.208893,285.8614,100736.8,52.0,4.25
2023-01-01 04:00:00,13.063477,10.165741,284.99963,100763.36,52.0,4.25
2023-01-01 05:00:00,11.923492,9.973572,284.43292,100874.05,52.0,4.25
2023-01-01 06:00:00,11.320023,9.452332,284.05344,100937.47,52.0,4.25
2023-01-01 07:00:00,10.131363,9.327408,283.912,101012.76,52.0,4.25
2023-01-01 08:00:00,11.169037,9.188431,283.7466,101131.375,52.0,4.25
2023-01-01 09:00:00,11.182571,8.644424,283.91638,101210.89,52.0,4.25
2023-01-01 10:00:00,10.379318,7.8423004,284.295,101286.55,52.0,4.25
2023-01-01 11:00:00,9.285385,8.122131,284.65106,101343.94,52.0,4.25
2023-01-01 12:00:00,7.83107,8.385208,284.88116,101360.31,52.0,4.25
2023-01-01 13:00:00,6.7892,8.422394,284.92447,101318.2,52.0,4.25
2023-01-01 14:00:00,6.637039,7.4441833,284.6842,101354.92,52.0,4.25
2023-01-01 15:00:00,4.4292145,8.054016,284.42627,101324.234,52.0,4.25
2023-01-01 16:00:00,2.4484558,8.806595,284.29608,101315.016,52.0,4.25
2023-01-01 17:00:00,1.1433411,9.319687,284.15802,101256.72,52.0,4.25
2023-01-01 18:00:00,1.2516022,9.213211,284.03653,101196.53,52.0,4.25
2023-01-01 19:00:00,0.13452148,9.3367,283.64777,101156.06,52.0,4.25
2023-01-01 20:00:00,-0.31604004,8.427841,283.1277,101109.2,52.0,4.25
2023-01-01 21:00:00,-1.3943329,7.59787,282.69772,101026.055,52.0,4.25
2023-01-01 22:00:00,0.14494324,7.482559,283.31393,100949.4,52.0,4.25
2023-01-01 23:00:00,3.7475433,7.9611053,283.85004,100929.28,52.0,4.25
2023-01-02 00:00:00,4.70372,7.9660034,284.28207,100857.36,52.0,4.25
2023-01-02 01:00:00,4.8414764,7.8604736,284.46564,100804.55,52.0,4.25
2023-01-02 02:00:00,5.0459137,8.303101,284.74213,100774.19,52.0,4.25
2023-01-02 03:00:00,6.449829,8.204681,284.10382,100767.59,52.0,4.25
2023-01-02 04:00:00,8.59642,3.1925201,283.35083,100849.35,52.0,4.25
2023-01-02 05:00:00,7.272644,-1.0579681,282.51953,100993.33,52.0,4.25
2023-01-02 06:00:00,6.0988007,-0.32839966,281.945,101078.266,52.0,4.25
2023-01-02 07:00:00,7.7068634,2.394104,281.60376,101256.33,52.0,4.25
2023-01-02 08:00:00,8.462723,2.5270233,281.47003,101329.695,52.0,4.25
2023-01-02 09:00:00,7.821594,3.7836914,281.51788,101437.36,52.0,4.25
2023-01-02 10:00:00,6.9651184,3.4218292,281.93417,101519.055,52.0,4.25
2023-01-02 11:00:00,7.268738,3.8626404,282.476,101583.86,52.0,4.25
2023-01-02 12:00:00,7.5837097,3.4975128,282.38068,101601.58,52.0,4.25
2023-01-02 13:00:00,7.4276276,2.6456604,282.0346,101646.33,52.0,4.25
2023-01-02 14:00:00,7.642578,1.8138123,281.9439,101719.6,52.0,4.25
2023-01-02 15:00:00,7.5534973,1.1527252,281.78357,101806.59,52.0,4.25
2023-01-02 16:00:00,7.186493,0.71713257,281.16235,101923.92,52.0,4.25
2023-01-02 17:00:00,7.0859528,-0.29380798,280.2735,102025.22,52.0,4.25
2023-01-02 18:00:00,6.71611,-0.87323,279.85754,102103.61,52.0,4.25
2023-01-02 19:00:00,6.304352,-0.6457977,279.6893,102191.516,52.0,4.25
2023-01-02 20:00:00,6.129181,-0.16763306,279.33884,102280.4,52.0,4.25
2023-01-02 21:00:00,5.9303284,0.45846558,278.89087,102332.75,52.0,4.25
2023-01-02 22:00:00,6.404709,0.8194275,278.28735,102390.47,52.0,4.25
2023-01-02 23:00:00,6.277359,1.1414185,277.7117,102488.81,52.0,4.25
2023-01-03 00:00:00,5.56073,1.4670715,277.39178,102520.445,52.0,4.25
2023-01-03 01:00:00,4.9444885,2.0858765,277.10638,102518.79,52.0,4.25
2023-01-03 02:00:00,3.9128876,2.7096405,276.72327,102529.3,52.0,4.25
2023-01-03 03:00:00,2.3990479,4.4971924,276.17987,102552.46,52.0,4.25
2023-01-03 04:00:00,1.1823273,6.2244263,276.2804,102524.59,52.0,4.25
