# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 240         4.790       52.318      -3.30       Schiphol    
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# STN,YYYYMMDD,H,   FH
  240,20220101,    1,   40
  240,20220101,    2,   50
  240,20220101,    3,   40
  240,20220101,    4,   40
  240,20220101,    5,   50
  240,20220101,    6,   50
  240,20220101,    7,   50
  240,20220101,    8,   50
  240,20220101,    9,   50
  240,20220101,   10,   50
  240,20220101,   11,   60
  240,20220101,   12,   60
  240,20220101,   13,   60
  240,20220101,   14,   60
  240,20220101,   15,   60
  240,20220101,   16,   60
  240,20220101,   17,   60
  240,20220101,   18,   60
  240,20220101,   19,   60
  240,20220101,   20,   60
  240,20220101,   21,   60
  240,20220101,   22,   50
  240,20220101,   23,   60
  240,20220101,   24,   50
  240,20220102,    1,   50
  240,20220102,    2,   60
  240,20220102,    3,   60
  240,20220102,    4,   70
  240,20220102,    5,   70
  240,20220102,    6,   80
  240,20220102,    7,   70
  240,20220102,    8,   70
  240,20220102,    9,  100
  240,20220102,   10,  110
  240,20220102,   11,  130
  240,20220102,   12,  120
  240,20220102,   13,  110
  240,20220102,   14,  100
  240,20220102,   15,  100
  240,20220102,   16,   70
  240,20220102,   17,   70
  240,20220102,   18,   70
  240,20220102,   19,   80
  240,20220102,   20,  100
  240,20220102,   21,  130
  240,20220102,   22,  120
  240,20220102,   23,  110
  240,20220102,   24,  110
  240,20220103,    1,  110
  240,20220103,    2,  100
  240,20220103,    3,  100
  240,20220103,    4,  100
  240,20220103,    5,  100
  240,20220103,    6,   90
  240,20220103,    7,  100
  240,20220103,    8,  110
  240,20220103,    9,  100
  240,20220103,   10,  100
  240,20220103,   11,   90
  240,20220103,   12,  100
  240,20220103,   13,  100
  240,20220103,   14,   90
  240,20220103,   15,   80
  240,20220103,   16,   80
  240,20220103,   17,   80
  240,20220103,   18,   70
  240,20220103,   19,   60
  240,20220103,   20,   60
  240,20220103,   21,   60
  240,20220103,   22,   60
  240,20220103,   23,   50
  240,20220103,   24,   50
  240,20220104,    1,   50
  240,20220104,    2,   60
  240,20220104,    3,   50
  240,20220104,    4,   50
  240,20220104,    5,   50
  240,20220104,    6,   50
  240,20220104,    7,   50
  240,20220104,    8,   50
  240,20220104,    9,   40
  240,20220104,   10,   50
  240,20220104,   11,   50
  240,20220104,   12,   40
  240,20220104,   13,   50
  240,20220104,   14,   40
  240,20220104,   15,   30
  240,20220104,   16,   30
  240,20220104,   17,   20
  240,20220104,   18,   30
  240,20220104,   19,   50
  240,20220104,   20,   30
  240,20220104,   21,   40
  240,20220104,   22,   60
  240,20220104,   23,   60
  240,20220104,   24,   60
  240,20220105,    1,   70
  240,20220105,    2,   80
  240,20220105,    3,   80
  240,20220105,    4,   90
  240,20220105,    5,  100
  240,20220105,    6,   90
  240,20220105,    7,  110
  240,20220105,    8,  110
  240,20220105,    9,  120
  240,20220105,   10,  120
  240,20220105,   11,  130
  240,20220105,   12,  120
  240,20220105,   13,  110
  240,20220105,   14,  100
  240,20220105,   15,   90
  240,20220105,   16,   80
  240,20220105,   17,   70
  240,20220105,   18,   70
  240,20220105,   19,   60
  240,20220105,   20,   60
  240,20220105,   21,   60
  240,20220105,   22,   60
  240,20220105,   23,   60
  240,20220105,   24,   60
  240,20220106,    1,   40
  240,20220106,    2,   20
  240,20220106,    3,   20
  240,20220106,    4,   20
  240,20220106,    5,   20
  240,20220106,    6,   10
  240,20220106,    7,   10
  240,20220106,    8,   20
  240,20220106,    9,   10
