,p_mp
2023-01-01 00:00:00+00:00,0.0
2023-01-01 01:00:00+00:00,0.0
2023-01-01 02:00:00+00:00,0.0
2023-01-01 03:00:00+00:00,0.0
2023-01-01 04:00:00+00:00,0.0
2023-01-01 05:00:00+00:00,0.0
2023-01-01 06:00:00+00:00,0.0
2023-01-01 07:00:00+00:00,0.0
2023-01-01 08:00:00+00:00,0.013024442833687245
2023-01-01 09:00:00+00:00,0.06887783921948151
2023-01-01 10:00:00+00:00,0.1013694420045089
2023-01-01 11:00:00+00:00,0.08558667580249947
2023-01-01 12:00:00+00:00,0.10607529356378673
2023-01-01 13:00:00+00:00,0.04862755911117889
2023-01-01 14:00:00+00:00,0.01593101879572047
2023-01-01 15:00:00+00:00,0.00031100676610250794
2023-01-01 16:00:00+00:00,0.0
2023-01-01 17:00:00+00:00,0.0
2023-01-01 18:00:00+00:00,0.0
2023-01-01 19:00:00+00:00,0.0
2023-01-01 20:00:00+00:00,0.0
2023-01-01 21:00:00+00:00,0.0
2023-01-01 22:00:00+00:00,0.0
2023-01-01 23:00:00+00:00,0.0
2023-01-02 00:00:00+00:00,0.0
2023-01-02 01:00:00+00:00,0.0
2023-01-02 02:00:00+00:00,0.0
2023-01-02 03:00:00+00:00,0.0
2023-01-02 04:00:00+00:00,0.0
2023-01-02 05:00:00+00:00,0.0
2023-01-02 06:00:00+00:00,0.0
2023-01-02 07:00:00+00:00,0.0
2023-01-02 08:00:00+00:00,0.0047997781686415115
2023-01-02 09:00:00+00:00,0.033044773774802264
2023-01-02 10:00:00+00:00,0.0886765323524644
2023-01-02 11:00:00+00:00,0.09529511704510725
2023-01-02 12:00:00+00:00,0.03480664083617367
2023-01-02 13:00:00+00:00,0.03327063305232593
2023-01-02 14:00:00+00:00,0.03185876379176936
2023-01-02 15:00:00+00:00,0.0011501213215626184
2023-01-02 16:00:00+00:00,0.0
2023-01-02 17:00:00+00:00,0.0
2023-01-02 18:00:00+00:00,0.0
2023-01-02 19:00:00+00:00,0.0
2023-01-02 20:00:00+00:00,0.0
2023-01-02 21:00:00+00:00,0.0
2023-01-02 22:00:00+00:00,0.0
2023-01-02 23:00:00+00:00,0.0
2023-01-03 00:00:00+00:00,0.0
2023-01-03 01:00:00+00:00,0.0
2023-01-03 02:00:00+00:00,0.0
2023-01-03 03:00:00+00:00,0.0
2023-01-03 04:00:00+00:00,0.0
2023-01-03 05:00:00+00:00,0.0
2023-01-03 06:00:00+00:00,0.0
2023-01-03 07:00:00+00:00,0.0
2023-01-03 08:00:00+00:00,0.005184629740629804
2023-01-03 09:00:00+00:00,0.0187644848118788
2023-01-03 10:00:00+00:00,0.041824650660937365
2023-01-03 11:00:00+00:00,0.04528271793806257
2023-01-03 12:00:00+00:00,0.06988353508047106
2023-01-03 13:00:00+00:00,0.07259094221014689
2023-01-03 14:00:00+00:00,0.03276904927683769
2023-01-03 15:00:00+00:00,0.004173214256643281
2023-01-03 16:00:00+00:00,0.0
2023-01-03 17:00:00+00:00,0.0
2023-01-03 18:00:00+00:00,0.0
2023-01-03 19:00:00+00:00,0.0
2023-01-03 20:00:00+00:00,0.0
2023-01-03 21:00:00+00:00,0.0
2023-01-03 22:00:00+00:00,0.0
2023-01-03 23:00:00+00:00,0.0
2023-01-04 00:00:00+00:00,0.0
2023-01-04 01:00:00+00:00,0.0
2023-01-04 02:00:00+00:00,0.0
2023-01-04 03:00:00+00:00,0.0
2023-01-04 04:00:00+00:00,0.0
2023-01-04 05:00:00+00:00,0.0
2023-01-04 06:00:00+00:00,0.0
2023-01-04 07:00:00+00:00,0.0
2023-01-04 08:00:00+00:00,0.0012406694713615958
2023-01-04 09:00:00+00:00,0.013008379869487172
2023-01-04 10:00:00+00:00,0.01814186139882755
2023-01-04 11:00:00+00:00,0.041559865750609014
2023-01-04 12:00:00+00:00,0.09340534806058567
2023-01-04 13:00:00+00:00,0.06820400253329083
2023-01-04 14:00:00+00:00,0.037515711361506755
2023-01-04 15:00:00+00:00,0.0020807991570923764
2023-01-04 16:00:00+00:00,0.0
2023-01-04 17:00:00+00:00,0.0
2023-01-04 18:00:00+00:00,0.0
2023-01-04 19:00:00+00:00,0.0
2023-01-04 20:00:00+00:00,0.0
2023-01-04 21:00:00+00:00,0.0
2023-01-04 22:00:00+00:00,0.0
2023-01-04 23:00:00+00:00,0.0
2023-01-05 00:00:00+00:00,0.0
2023-01-05 01:00:00+00:00,0.0
2023-01-05 02:00:00+00:00,0.0
2023-01-05 03:00:00+00:00,0.0
2023-01-05 04:00:00+00:00,0.0
2023-01-05 05:00:00+00:00,0.0
2023-01-05 06:00:00+00:00,0.0
2023-01-05 07:00:00+00:00,0.00022084455257682237
2023-01-05 08:00:00+00:00,0.011661246600048285
2023-01-05 09:00:00+00:00,0.03530726403425521
2023-01-05 10:00:00+00:00,0.09021830868166238
2023-01-05 11:00:00+00:00,0.1612365799898393
2023-01-05 12:00:00+00:00,0.09518045959649196
2023-01-05 13:00:00+00:00,0.06584374202643056
2023-01-05 14:00:00+00:00,0.02991748614620899
2023-01-05 15:00:00+00:00,0.000565859088856187
2023-01-05 16:00:00+00:00,0.0
2023-01-05 17:00:00+00:00,0.0
2023-01-05 18:00:00+00:00,0.0
2023-01-05 19:00:00+00:00,0.0
2023-01-05 20:00:00+00:00,0.0
2023-01-05 21:00:00+00:00,0.0
2023-01-05 22:00:00+00:00,0.0
2023-01-05 23:00:00+00:00,0.0
2023-01-06 00:00:00+00:00,0.0
2023-01-06 01:00:00+00:00,0.0
2023-01-06 02:00:00+00:00,0.0
2023-01-06 03:00:00+00:00,0.0
2023-01-06 04:00:00+00:00,0.0
2023-01-06 05:00:00+00:00,0.0
2023-01-06 06:00:00+00:00,0.0
2023-01-06 07:00:00+00:00,0.0
2023-01-06 08:00:00+00:00,0.03616512228160641
2023-01-06 09:00:00+00:00,0.09486747473900389
2023-01-06 10:00:00+00:00,0.13446078446558266
2023-01-06 11:00:00+00:00,0.17729208907251517
2023-01-06 12:00:00+00:00,0.20459900909524914
2023-01-06 13:00:00+00:00,0.1076711088377435
2023-01-06 14:00:00+00:00,0.049045295235839184
2023-01-06 15:00:00+00:00,0.005080919880778602
2023-01-06 16:00:00+00:00,0.0
2023-01-06 17:00:00+00:00,0.0
2023-01-06 18:00:00+00:00,0.0
2023-01-06 19:00:00+00:00,0.0
2023-01-06 20:00:00+00:00,0.0
2023-01-06 21:00:00+00:00,0.0
2023-01-06 22:00:00+00:00,0.0
2023-01-06 23:00:00+00:00,0.0
2023-01-07 00:00:00+00:00,0.0
2023-01-07 01:00:00+00:00,0.0
2023-01-07 02:00:00+00:00,0.0
2023-01-07 03:00:00+00:00,0.0
2023-01-07 04:00:00+00:00,0.0
2023-01-07 05:00:00+00:00,0.0
2023-01-07 06:00:00+00:00,0.0
2023-01-07 07:00:00+00:00,0.00017035491033918704
2023-01-07 08:00:00+00:00,0.016821998104324144
2023-01-07 09:00:00+00:00,0.04333452362979886
2023-01-07 10:00:00+00:00,0.121692882697666
2023-01-07 11:00:00+00:00,0.1529760842137682
2023-01-07 12:00:00+00:00,0.10715203308366925
2023-01-07 13:00:00+00:00,0.09708790709239926
2023-01-07 14:00:00+00:00,0.035214954675012615
2023-01-07 15:00:00+00:00,0.00740132981344435
2023-01-07 16:00:00+00:00,0.0
2023-01-07 17:00:00+00:00,0.0
2023-01-07 18:00:00+00:00,0.0
2023-01-07 19:00:00+00:00,0.0
2023-01-07 20:00:00+00:00,0.0
2023-01-07 21:00:00+00:00,0.0
2023-01-07 22:00:00+00:00,0.0
2023-01-07 23:00:00+00:00,0.0
2023-01-08 00:00:00+00:00,0.0
2023-01-08 01:00:00+00:00,0.0
2023-01-08 02:00:00+00:00,0.0
2023-01-08 03:00:00+00:00,0.0
2023-01-08 04:00:00+00:00,0.0
2023-01-08 05:00:00+00:00,0.0
2023-01-08 06:00:00+00:00,0.0
2023-01-08 07:00:00+00:00,3.339423287756019e-05
2023-01-08 08:00:00+00:00,0.01665716614214475
2023-01-08 09:00:00+00:00,0.09496638387337587
2023-01-08 10:00:00+00:00,0.14160840513662573
2023-01-08 11:00:00+00:00,0.16136924858131332
2023-01-08 12:00:00+00:00,0.16531570456496827
2023-01-08 13:00:00+00:00,0.12256943715937804
2023-01-08 14:00:00+00:00,0.07429095484980743
2023-01-08 15:00:00+00:00,0.0158263699118868
2023-01-08 16:00:00+00:00,0.0
2023-01-08 17:00:00+00:00,0.0
2023-01-08 18:00:00+00:00,0.0
2023-01-08 19:00:00+00:00,0.0
2023-01-08 20:00:00+00:00,0.0
2023-01-08 21:00:00+00:00,0.0
2023-01-08 22:00:00+00:00,0.0
2023-01-08 23:00:00+00:00,0.0
2023-01-09 00:00:00+00:00,0.0
2023-01-09 01:00:00+00:00,0.0
2023-01-09 02:00:00+00:00,0.0
2023-01-09 03:00:00+00:00,0.0
2023-01-09 04:00:00+00:00,0.0
2023-01-09 05:00:00+00:00,0.0
2023-01-09 06:00:00+00:00,0.0
2023-01-09 07:00:00+00:00,0.0
2023-01-09 08:00:00+00:00,0.008647177405488796
2023-01-09 09:00:00+00:00,0.04714160978442957
2023-01-09 10:00:00+00:00,0.05766134416579056
2023-01-09 11:00:00+00:00,0.07723355567883863
2023-01-09 12:00:00+00:00,0.0501810904689921
2023-01-09 13:00:00+00:00,0.07180256684839806
2023-01-09 14:00:00+00:00,0.021396669216090784
2023-01-09 15:00:00+00:00,0.0043165568098041595
2023-01-09 16:00:00+00:00,0.0
2023-01-09 17:00:00+00:00,0.0
2023-01-09 18:00:00+00:00,0.0
2023-01-09 19:00:00+00:00,0.0
2023-01-09 20:00:00+00:00,0.0
2023-01-09 21:00:00+00:00,0.0
2023-01-09 22:00:00+00:00,0.0
2023-01-09 23:00:00+00:00,0.0
2023-01-10 00:00:00+00:00,0.0
2023-01-10 01:00:00+00:00,0.0
2023-01-10 02:00:00+00:00,0.0
2023-01-10 03:00:00+00:00,0.0
2023-01-10 04:00:00+00:00,0.0
2023-01-10 05:00:00+00:00,0.0
2023-01-10 06:00:00+00:00,0.0
2023-01-10 07:00:00+00:00,0.0022838384401067764
2023-01-10 08:00:00+00:00,0.027476805779409738
2023-01-10 09:00:00+00:00,0.0482270698414002
2023-01-10 10:00:00+00:00,0.06821948688626821
2023-01-10 11:00:00+00:00,0.0661488866112007
2023-01-10 12:00:00+00:00,0.044709336346444535
2023-01-10 13:00:00+00:00,0.03683135910066013
2023-01-10 14:00:00+00:00,0.00894428338532979
2023-01-10 15:00:00+00:00,6.31061696264642e-05
2023-01-10 16:00:00+00:00,0.0
2023-01-10 17:00:00+00:00,0.0
2023-01-10 18:00:00+00:00,0.0
2023-01-10 19:00:00+00:00,0.0
2023-01-10 20:00:00+00:00,0.0
2023-01-10 21:00:00+00:00,0.0
2023-01-10 22:00:00+00:00,0.0
2023-01-10 23:00:00+00:00,0.0
2023-01-11 00:00:00+00:00,0.0
2023-01-11 01:00:00+00:00,0.0
2023-01-11 02:00:00+00:00,0.0
2023-01-11 03:00:00+00:00,0.0
2023-01-11 04:00:00+00:00,0.0
2023-01-11 05:00:00+00:00,0.0
2023-01-11 06:00:00+00:00,0.0
2023-01-11 07:00:00+00:00,0.0
2023-01-11 08:00:00+00:00,0.01096617784339637
2023-01-11 09:00:00+00:00,0.0948915161077984
2023-01-11 10:00:00+00:00,0.12261342070585544
2023-01-11 11:00:00+00:00,0.14789867428085315
2023-01-11 12:00:00+00:00,0.13102452199351053
2023-01-11 13:00:00+00:00,0.10226007960360077
2023-01-11 14:00:00+00:00,0.06588679282151223
2023-01-11 15:00:00+00:00,0.01582792493231589
2023-01-11 16:00:00+00:00,0.0
2023-01-11 17:00:00+00:00,0.0
2023-01-11 18:00:00+00:00,0.0
2023-01-11 19:00:00+00:00,0.0
2023-01-11 20:00:00+00:00,0.0
2023-01-11 21:00:00+00:00,0.0
2023-01-11 22:00:00+00:00,0.0
2023-01-11 23:00:00+00:00,0.0
2023-01-12 00:00:00+00:00,0.0
2023-01-12 01:00:00+00:00,0.0
2023-01-12 02:00:00+00:00,0.0
2023-01-12 03:00:00+00:00,0.0
2023-01-12 04:00:00+00:00,0.0
2023-01-12 05:00:00+00:00,0.0
2023-01-12 06:00:00+00:00,0.0
2023-01-12 07:00:00+00:00,0.0
2023-01-12 08:00:00+00:00,0.0012374178932095204
2023-01-12 09:00:00+00:00,0.009665450154171291
2023-01-12 10:00:00+00:00,0.018056907266059758
2023-01-12 11:00:00+00:00,0.01872720847779125
2023-01-12 12:00:00+00:00,0.015354797441618365
2023-01-12 13:00:00+00:00,0.010516454947543904
2023-01-12 14:00:00+00:00,0.006243656070576776
2023-01-12 15:00:00+00:00,4.509553818409904e-06
2023-01-12 16:00:00+00:00,0.0
2023-01-12 17:00:00+00:00,0.0
2023-01-12 18:00:00+00:00,0.0
2023-01-12 19:00:00+00:00,0.0
2023-01-12 20:00:00+00:00,0.0
2023-01-12 21:00:00+00:00,0.0
2023-01-12 22:00:00+00:00,0.0
2023-01-12 23:00:00+00:00,0.0
2023-01-13 00:00:00+00:00,0.0
2023-01-13 01:00:00+00:00,0.0
2023-01-13 02:00:00+00:00,0.0
2023-01-13 03:00:00+00:00,0.0
2023-01-13 04:00:00+00:00,0.0
2023-01-13 05:00:00+00:00,0.0
2023-01-13 06:00:00+00:00,0.0
2023-01-13 07:00:00+00:00,0.0
2023-01-13 08:00:00+00:00,0.00564102440531876
2023-01-13 09:00:00+00:00,0.02198665409405869
2023-01-13 10:00:00+00:00,0.026713556448881893
2023-01-13 11:00:00+00:00,0.03693978726588733
2023-01-13 12:00:00+00:00,0.06744926623287022
2023-01-13 13:00:00+00:00,0.06846427688174288
2023-01-13 14:00:00+00:00,0.0524105045028146
2023-01-13 15:00:00+00:00,0.005912345910416891
2023-01-13 16:00:00+00:00,0.0
2023-01-13 17:00:00+00:00,0.0
2023-01-13 18:00:00+00:00,0.0
2023-01-13 19:00:00+00:00,0.0
2023-01-13 20:00:00+00:00,0.0
2023-01-13 21:00:00+00:00,0.0
2023-01-13 22:00:00+00:00,0.0
2023-01-13 23:00:00+00:00,0.0
2023-01-14 00:00:00+00:00,0.0
2023-01-14 01:00:00+00:00,0.0
2023-01-14 02:00:00+00:00,0.0
2023-01-14 03:00:00+00:00,0.0
2023-01-14 04:00:00+00:00,0.0
2023-01-14 05:00:00+00:00,0.0
2023-01-14 06:00:00+00:00,0.0
2023-01-14 07:00:00+00:00,0.0
2023-01-14 08:00:00+00:00,0.0003228895549418854
2023-01-14 09:00:00+00:00,0.004052036022234053
2023-01-14 10:00:00+00:00,0.01861252039877246
2023-01-14 11:00:00+00:00,0.014465670761892351
2023-01-14 12:00:00+00:00,0.017677937935442267
2023-01-14 13:00:00+00:00,0.01262429859907147
2023-01-14 14:00:00+00:00,0.010251263001252786
2023-01-14 15:00:00+00:00,0.0009138249036246288
2023-01-14 16:00:00+00:00,0.0
2023-01-14 17:00:00+00:00,0.0
2023-01-14 18:00:00+00:00,0.0
2023-01-14 19:00:00+00:00,0.0
2023-01-14 20:00:00+00:00,0.0
2023-01-14 21:00:00+00:00,0.0
2023-01-14 22:00:00+00:00,0.0
2023-01-14 23:00:00+00:00,0.0
2023-01-15 00:00:00+00:00,0.0
2023-01-15 01:00:00+00:00,0.0
2023-01-15 02:00:00+00:00,0.0
2023-01-15 03:00:00+00:00,0.0
2023-01-15 04:00:00+00:00,0.0
2023-01-15 05:00:00+00:00,0.0
2023-01-15 06:00:00+00:00,0.0
2023-01-15 07:00:00+00:00,0.00013550151972971974
2023-01-15 08:00:00+00:00,0.059960306739446766
2023-01-15 09:00:00+00:00,0.099272077469346
2023-01-15 10:00:00+00:00,0.13693564565471575
2023-01-15 11:00:00+00:00,0.1373613994565329
2023-01-15 12:00:00+00:00,0.09243742172294914
2023-01-15 13:00:00+00:00,0.0706168637134718
2023-01-15 14:00:00+00:00,0.050766300506526627
2023-01-15 15:00:00+00:00,0.001500814907923174
2023-01-15 16:00:00+00:00,0.0
2023-01-15 17:00:00+00:00,0.0
2023-01-15 18:00:00+00:00,0.0
2023-01-15 19:00:00+00:00,0.0
2023-01-15 20:00:00+00:00,0.0
2023-01-15 21:00:00+00:00,0.0
