# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# Q         : Globale straling (in J/cm2) per uurvak / Global radiation (in J/cm2) during the hourly division
# STN,YYYYMMDD,   HH,   FH,    T,    Q
  260,20230101,    1,   80,  155,    0
  260,20230101,    2,   90,  150,    0
  260,20230101,    3,   80,  149,    0
  260,20230101,    4,   80,  139,    0
  260,20230101,    5,   80,  131,    0
  260,20230101,    6,   70,  129,    0
  260,20230101,    7,   70,  125,    0
  260,20230101,    8,   60,  116,    1
  260,20230101,    9,   50,  115,    8
  260,20230101,   10,   50,  120,   34
  260,20230101,   11,   60,  128,   46
  260,20230101,   12,   60,  123,   35
  260,20230101,   13,   60,  129,   37
  260,20230101,   14,   50,  125,   22
  260,20230101,   15,   40,  123,   11
  260,20230101,   16,   30,  122,    2
  260,20230101,   17,   40,  121,    0
  260,20230101,   18,   40,  115,    0
  260,20230101,   19,   30,  107,    0
  260,20230101,   20,   30,  106,    0
  260,20230101,   21,   30,  105,    0
  260,20230101,   22,   40,  106,    0
  260,20230101,   23,   30,  113,    0
  260,20230101,   24,   40,  114,    0
  260,20230102,    1,   40,  114,    0
  260,20230102,    2,   40,  119,    0
  260,20230102,    3,   40,  122,    0
  260,20230102,    4,   50,  127,    0
  260,20230102,    5,   60,  124,    0
  260,20230102,    6,   60,   99,    0
  260,20230102,    7,   40,   93,    0
  260,20230102,    8,   30,   89,    1
  260,20230102,    9,   40,   91,    4
  260,20230102,   10,   40,   90,   16
  260,20230102,   11,   30,   93,   38
  260,20230102,   12,   40,   97,   44
  260,20230102,   13,   40,   97,   23
  260,20230102,   14,   40,   91,   11
  260,20230102,   15,   40,   92,   11
  260,20230102,   16,   40,   89,    1
  260,20230102,   17,   30,   85,    0
  260,20230102,   18,   30,   71,    0
  260,20230102,   19,   30,   69,    0
  260,20230102,   20,   20,   57,    0
  260,20230102,   21,   20,   52,    0
  260,20230102,   22,   20,   49,    0
  260,20230102,   23,   20,   52,    0
  260,20230102,   24,   20,   45,    0
  260,20230103,    1,   20,   48,    0
  260,20230103,    2,   10,   21,    0
  260,20230103,    3,   10,   19,    0
  260,20230103,    4,   20,   31,    0
  260,20230103,    5,   20,   31,    0
  260,20230103,    6,   20,   25,    0
  260,20230103,    7,   20,   32,    0
  260,20230103,    8,   20,   39,    1
  260,20230103,    9,   30,   50,    6
  260,20230103,   10,   40,   63,   11
  260,20230103,   11,   40,   70,   13
  260,20230103,   12,   40,   76,   16
  260,20230103,   13,   40,   81,   26
  260,20230103,   14,   40,   84,   28
  260,20230103,   15,   50,   81,   11
  260,20230103,   16,   50,   80,    3
  260,20230103,   17,   60,   80,    0
  260,20230103,   18,   60,   82,    0
  260,20230103,   19,   70,   84,    0
  260,20230103,   20,   70,   84,    0
  260,20230103,   21,   70,   86,    0
  260,20230103,   22,   70,   89,    0
  260,20230103,   23,   70,   91,    0
  260,20230103,   24,   70,   88,    0
  260,20230104,    1,   70,   88,    0
  260,20230104,    2,   80,   97,    0
  260,20230104,    3,   90,  102,    0
  260,20230104,    4,   80,  111,    0
  260,20230104,    5,   90,  112,    0
  260,20230104,    6,   80,  112,    0
  260,20230104,    7,   80,  116,    0
  260,20230104,    8,   80,  115,    1
  260,20230104,    9,   80,  115,    2
  260,20230104,   10,   70,  118,    7
  260,20230104,   11,   70,  119,    8
  260,20230104,   12,   80,  127,   15
  260,20230104,   13,   70,  128,   34
  260,20230104,   14,   80,  126,   29
  260,20230104,   15,   70,  125,   10
  260,20230104,   16,   70,  123,    2
  260,20230104,   17,   70,  121,    0
  260,20230104,   18,   70,  121,    0
  260,20230104,   19,   70,  120,    0
  260,20230104,   20,   70,  121,    0
  260,20230104,   21,   70,  122,    0
  260,20230104,   22,   80,  118,    0
  260,20230104,   23,   80,  115,    0
  260,20230104,   24,   70,  111,    0
  260,20230105,    1,   60,  111,    0
  260,20230105,    2,   60,  110,    0
  260,20230105,    3,   60,  109,    0
  260,20230105,    4,   60,  109,    0
  260,20230105,    5,   50,  108,    0
  260,20230105,    6,   50,  105,    0
  260,20230105,    7,   50,  106,    0
  260,20230105,    8,   40,  104,    1
  260,20230105,    9,   40,  104,    8
  260,20230105,   10,   40,  107,   21
  260,20230105,   11,   40,  110,   27
  260,20230105,   12,   40,  116,   50
  260,20230105,   13,   40,  117,   49
  260,20230105,   14,   40,  114,   26
  260,20230105,   15,   40,  107,   14
  260,20230105,   16,   40,   99,    3
  260,20230105,   17,   30,   97,    0
  260,20230105,   18,   30,  102,    0
  260,20230105,   19,   40,  108,    0
  260,20230105,   20,   40,  110,    0
  260,20230105,   21,   40,  111,    0
  260,20230105,   22,   50,  111,    0
  260,20230105,   23,   50,  109,    0
  260,20230105,   24,   60,  110,    0
  260,20230106,    1,   60,  106,    0
  260,20230106,    2,   50,  109,    0
  260,20230106,    3,   50,  107,    0
  260,20230106,    4,   60,  108,    0
  260,20230106,    5,   70,  110,    0
  260,20230106,    6,   70,  105,    0
  260,20230106,    7,   70,  103,    0
  260,20230106,    8,   60,  102,    1
  260,20230106,    9,   40,  102,   14
  260,20230106,   10,   40,  104,   51
  260,20230106,   11,   50,  106,   75
  260,20230106,   12,   40,  107,   61
  260,20230106,   13,   50,  113,   75
  260,20230106,   14,   50,  110,   60
  260,20230106,   15,   40,  105,   14
  260,20230106,   16,   40,   98,    3
  260,20230106,   17,   30,   96,    0
  260,20230106,   18,   30,   97,    0
  260,20230106,   19,   20,  100,    0
  260,20230106,   20,   30,  106,    0
  260,20230106,   21,   40,  111,    0
  260,20230106,   22,   50,  110,    0
  260,20230106,   23,   50,  109,    0
  260,20230106,   24,   60,  110,    0
  260,20230107,    1,   50,  109,    0
  260,20230107,    2,   40,  105,    0
  260,20230107,    3,   50,  104,    0
  260,20230107,    4,   50,   99,    0
  260,20230107,    5,   60,   99,    0
  260,20230107,    6,   50,  100,    0
  260,20230107,    7,   50,   99,    0
  260,20230107,    8,   50,  102,    1
  260,20230107,    9,   60,  102,   13
  260,20230107,   10,   60,  108,   18
  260,20230107,   11,   50,  112,   42
  260,20230107,   12,   60,  117,   68
  260,20230107,   13,   70,  111,   48
  260,20230107,   14,   60,  112,   44
  260,20230107,   15,   60,  110,   16
  260,20230107,   16,   60,  108,    4
  260,20230107,   17,   60,  103,    0
  260,20230107,   18,   60,   97,    0
  260,20230107,   19,   60,   95,    0
  260,20230107,   20,   60,  101,    0
  260,20230107,   21,   70,  100,    0
  260,20230107,   22,   60,  102,    0
  260,20230107,   23,   60,  107,    0
  260,20230107,   24,   60,   84,    0
  260,20230108,    1,   40,   87,    0
  260,20230108,    2,   40,   90,    0
  260,20230108,    3,   40,   92,    0
  260,20230108,    4,   30,   90,    0
  260,20230108,    5,   30,   83,    0
  260,20230108,    6,   30,   73,    0
  260,20230108,    7,   30,   72,    0
  260,20230108,    8,   30,   66,    1
  260,20230108,    9,   40,   68,    9
  260,20230108,   10,   50,   80,   47
  260,20230108,   11,   50,   91,   72
  260,20230108,   12,   50,   96,   78
  260,20230108,   13,   60,   97,   59
  260,20230108,   14,   50,  100,   61
  260,20230108,   15,   50,   94,   30
  260,20230108,   16,   50,   86,    7
  260,20230108,   17,   40,   81,    0
  260,20230108,   18,   40,   84,    0
  260,20230108,   19,   40,   82,    0
  260,20230108,   20,   50,   84,    0
  260,20230108,   21,   40,   81,    0
  260,20230108,   22,   40,   77,    0
  260,20230108,   23,   50,   77,    0
  260,20230108,   24,   50,   73,    0
  260,20230109,    1,   50,   67,    0
  260,20230109,    2,   40,   59,    0
  260,20230109,    3,   40,   55,    0
  260,20230109,    4,   40,   50,    0
  260,20230109,    5,   50,   56,    0
  260,20230109,    6,   40,   61,    0
  260,20230109,    7,   50,   65,    0
  260,20230109,    8,   50,   67,    1
  260,20230109,    9,   50,   71,    3
  260,20230109,   10,   50,   80,   17
  260,20230109,   11,   50,   79,   30
  260,20230109,   12,   40,   75,   34
  260,20230109,   13,   40,   85,   39
  260,20230109,   14,   40,   81,   28
  260,20230109,   15,   40,   81,   18
  260,20230109,   16,   30,   77,    4
  260,20230109,   17,   30,   70,    0
  260,20230109,   18,   30,   68,    0
  260,20230109,   19,   30,   71,    0
  260,20230109,   20,   40,   73,    0
  260,20230109,   21,   40,   74,    0
  260,20230109,   22,   30,   73,    0
  260,20230109,   23,   30,   66,    0
  260,20230109,   24,   30,   65,    0
  260,20230110,    1,   40,   68,    0
  260,20230110,    2,   40,   64,    0
  260,20230110,    3,   30,   66,    0
  260,20230110,    4,   40,   72,    0
  260,20230110,    5,   30,   66,    0
  260,20230110,    6,   30,   52,    0
  260,20230110,    7,   30,   65,    0
  260,20230110,    8,   40,   57,    2
  260,20230110,    9,   50,   57,   15
  260,20230110,   10,   40,   58,   23
  260,20230110,   11,   50,   56,   29
  260,20230110,   12,   50,   62,   28
  260,20230110,   13,   50,   68,   20
  260,20230110,   14,   60,   72,   17
  260,20230110,   15,   70,   64,    6
  260,20230110,   16,   70,   63,    1
  260,20230110,   17,   80,   62,    0
  260,20230110,   18,   80,   68,    0
  260,20230110,   19,   80,   77,    0
  260,20230110,   20,   70,   83,    0
  260,20230110,   21,   70,   86,    0
  260,20230110,   22,   70,   90,    0
  260,20230110,   23,   60,   97,    0
  260,20230110,   24,   60,  104,    0
  260,20230111,    1,   60,  107,    0
  260,20230111,    2,   70,  112,    0
  260,20230111,    3,   70,  115,    0
  260,20230111,    4,   50,  112,    0
  260,20230111,    5,   50,  115,    0
  260,20230111,    6,   50,  109,    0
  260,20230111,    7,   40,  103,    0
  260,20230111,    8,   50,   99,    1
  260,20230111,    9,   40,   88,    6
  260,20230111,   10,   40,   99,   39
  260,20230111,   11,   50,  103,   74
  260,20230111,   12,   60,  101,   68
  260,20230111,   13,   70,  103,   66
  260,20230111,   14,   60,  105,   59
  260,20230111,   15,   60,   97,   35
  260,20230111,   16,   70,   95,    7
  260,20230111,   17,   70,   95,    0
  260,20230111,   18,   70,   95,    0
  260,20230111,   19,   80,   91,    0
  260,20230111,   20,   90,   86,    0
  260,20230111,   21,   80,   86,    0
  260,20230111,   22,   70,   91,    0
  260,20230111,   23,   70,   91,    0
  260,20230111,   24,   70,   91,    0
  260,20230112,    1,   70,   91,    0
  260,20230112,    2,   70,   92,    0
  260,20230112,    3,   70,   93,    0
  260,20230112,    4,   80,   89,    0
  260,20230112,    5,   80,   91,    0
  260,20230112,    6,  100,   93,    0
  260,20230112,    7,   80,   97,    0
  260,20230112,    8,   70,  110,    1
  260,20230112,    9,   80,  111,    3
  260,20230112,   10,   80,  113,    6
  260,20230112,   11,   70,  110,    8
  260,20230112,   12,   70,  110,   10
  260,20230112,   13,   70,  110,   11
  260,20230112,   14,   70,  109,    7
  260,20230112,   15,   70,  109,    5
  260,20230112,   16,   80,  109,    1
  260,20230112,   17,   80,  109,    0
  260,20230112,   18,   80,  107,    0
  260,20230112,   19,   80,  107,    0
  260,20230112,   20,   80,  105,    0
  260,20230112,   21,   60,  100,    0
  260,20230112,   22,   70,  105,    0
  260,20230112,   23,   70,   99,    0
  260,20230112,   24,   70,   94,    0
  260,20230113,    1,   60,   89,    0
  260,20230113,    2,   70,   88,    0
  260,20230113,    3,   70,   88,    0
  260,20230113,    4,   80,   87,    0
  260,20230113,    5,   80,   85,    0
  260,20230113,    6,   70,   82,    0
  260,20230113,    7,   70,   84,    0
  260,20230113,    8,   80,   87,    1
  260,20230113,    9,   70,   83,    9
  260,20230113,   10,   70,   84,   13
  260,20230113,   11,   70,   89,   18
  260,20230113,   12,   70,   94,   27
  260,20230113,   13,   80,   97,   31
  260,20230113,   14,   80,   97,   27
  260,20230113,   15,   70,   95,   17
  260,20230113,   16,   70,   92,    6
  260,20230113,   17,   60,   84,    0
  260,20230113,   18,   70,   78,    0
  260,20230113,   19,   60,   81,    0
  260,20230113,   20,   60,   81,    0
  260,20230113,   21,   60,   85,    0
  260,20230113,   22,   50,   85,    0
  260,20230113,   23,   60,   86,    0
  260,20230113,   24,   50,   86,    0
  260,20230114,    1,   30,   75,    0
  260,20230114,    2,   40,   73,    0
  260,20230114,    3,   40,   62,    0
  260,20230114,    4,   50,   59,    0
  260,20230114,    5,   40,   58,    0
  260,20230114,    6,   50,   66,    0
  260,20230114,    7,   60,   68,    0
  260,20230114,    8,   60,   65,    1
  260,20230114,    9,   60,   71,    3
  260,20230114,   10,   70,   78,    5
  260,20230114,   11,   80,   85,    9
  260,20230114,   12,   80,   95,    9
  260,20230114,   13,   80,   98,   11
  260,20230114,   14,   90,  105,    8
  260,20230114,   15,   90,  108,    6
  260,20230114,   16,   80,  110,    1
  260,20230114,   17,   70,  113,    0
  260,20230114,   18,   60,  114,    0
  260,20230114,   19,   60,  109,    0
  260,20230114,   20,   60,   77,    0
  260,20230114,   21,   40,   78,    0
  260,20230114,   22,   40,   82,    0
  260,20230114,   23,   40,   78,    0
  260,20230114,   24,   50,   78,    0
  260,20230115,    1,   50,   75,    0
  260,20230115,    2,   50,   74,    0
  260,20230115,    3,   60,   71,    0
  260,20230115,    4,   50,   66,    0
  260,20230115,    5,   60,   68,    0
  260,20230115,    6,   60,   65,    0
  260,20230115,    7,   60,   60,    0
  260,20230115,    8,   60,   60,    1
  260,20230115,    9,   80,   67,   26
  260,20230115,   10,   80,   69,   38
  260,20230115,   11,   90,   76,   89
  260,20230115,   12,  100,   71,   38
  260,20230115,   13,   90,   63,   22
  260,20230115,   14,   70,   69,   27
  260,20230115,   15,   60,   69,   10
  260,20230115,   16,   60,   66,    3
  260,20230115,   17,   60,   63,    1
  260,20230115,   18,   70,   58,    0
  260,20230115,   19,   60,   52,    0
  260,20230115,   20,   60,   47,    0
