,feedin_power_plant
2024-01-01 00:00:00+00:00,4200000.0
2024-01-01 01:00:00+00:00,4200000.0
2024-01-01 02:00:00+00:00,4200000.0
2024-01-01 03:00:00+00:00,4192365.9324645996
2024-01-01 04:00:00+00:00,4187169.7425842285
2024-01-01 05:00:00+00:00,4182687.520980835
2024-01-01 06:00:00+00:00,4187156.7249298096
2024-01-01 07:00:00+00:00,4159969.2344665527
2024-01-01 08:00:00+00:00,4083712.5301361084
2024-01-01 09:00:00+00:00,4041327.905654907
2024-01-01 10:00:00+00:00,3798493.995666504
2024-01-01 11:00:00+00:00,3694885.0059509277
2024-01-01 12:00:00+00:00,3572562.3893737793
2024-01-01 13:00:00+00:00,3568774.1661071777
2024-01-01 14:00:00+00:00,3857287.5213623047
2024-01-01 15:00:00+00:00,3751793.0221557617
2024-01-01 16:00:00+00:00,3341069.2977905273
2024-01-01 17:00:00+00:00,2905086.4791870117
2024-01-01 18:00:00+00:00,2790587.7208709717
2024-01-01 19:00:00+00:00,2318087.615966797
2024-01-01 20:00:00+00:00,2287989.7689819336
2024-01-01 21:00:00+00:00,2391264.5721435547
2024-01-01 22:00:00+00:00,2741314.821243286
2024-01-01 23:00:00+00:00,3393560.6002807617
2024-01-02 00:00:00+00:00,3849816.1697387695
2024-01-02 01:00:00+00:00,4017254.5433044434
2024-01-02 02:00:00+00:00,4088687.4198913574
2024-01-02 03:00:00+00:00,4037241.792678833
2024-01-02 04:00:00+00:00,4018748.998641968
2024-01-02 05:00:00+00:00,4152489.5191192627
2024-01-02 06:00:00+00:00,4195301.055908203
2024-01-02 07:00:00+00:00,4159838.390350342
2024-01-02 08:00:00+00:00,4029522.8958129883
2024-01-02 09:00:00+00:00,3612078.6666870117
2024-01-02 10:00:00+00:00,3659768.2571411133
2024-01-02 11:00:00+00:00,3723825.5500793457
2024-01-02 12:00:00+00:00,3836438.2934570312
2024-01-02 13:00:00+00:00,3678361.2632751465
2024-01-02 14:00:00+00:00,3945473.2704162598
2024-01-02 15:00:00+00:00,4176374.340057373
2024-01-02 16:00:00+00:00,4200000.0
2024-01-02 17:00:00+00:00,4200000.0
2024-01-02 18:00:00+00:00,4200000.0
2024-01-02 19:00:00+00:00,4200000.0
2024-01-02 20:00:00+00:00,4200000.0
2024-01-02 21:00:00+00:00,4200000.0
2024-01-02 22:00:00+00:00,4200000.0
2024-01-02 23:00:00+00:00,4200000.0
2024-01-03 00:00:00+00:00,4200000.0
2024-01-03 01:00:00+00:00,4200000.0
2024-01-03 02:00:00+00:00,4200000.0
2024-01-03 03:00:00+00:00,4200000.0
2024-01-03 04:00:00+00:00,4200000.0
2024-01-03 05:00:00+00:00,4200000.0
2024-01-03 06:00:00+00:00,4187029.6001434326
2024-01-03 07:00:00+00:00,4173505.0201416016
2024-01-03 08:00:00+00:00,4177293.4913635254
2024-01-03 09:00:00+00:00,4170662.212371826
2024-01-03 10:00:00+00:00,4177533.24508667
2024-01-03 11:00:00+00:00,4190594.3393707275
2024-01-03 12:00:00+00:00,4193222.665786743
2024-01-03 13:00:00+00:00,4079736.280441284
2024-01-03 14:00:00+00:00,4049015.188217163
2024-01-03 15:00:00+00:00,3934002.9525756836
2024-01-03 16:00:00+00:00,3602640.552520752
2024-01-03 17:00:00+00:00,3412185.516357422
2024-01-03 18:00:00+00:00,3503933.5441589355
2024-01-03 19:00:00+00:00,3687635.440826416
